model_name,arg1,arg2,arg3,arg4,arg5
m9_SMEIMCs,T,1,1,1,1
m9_SMEIMCs,F,1,1,1,1
m8_SMEIMCs,T,1,1,1,1
m8_SMEIMCs,F,1,1,1,1
m7_SMEIMCs,F,F,1,1,1
m7_SMEIMCs,T,F,1,1,1
m7_SMEIMCs,F,T,1,1,1
m7_SMEIMCs,T,T,1,1,1
m6_EDICwTCL,F,F,F,F,1
m6_EDICwTCL,F,F,T,T,1
m6_EDICwTCL,T,T,F,F,1
m6_EDICwTCL,T,T,T,T,1
m5_EDICwTCL,F,F,1,1,1
m5_EDICwTCL,F,T,1,1,1
m5_EDICwTCL,T,F,1,1,1
m5_EDICwTCL,T,T,1,1,1
m4_EDICwTCL,F,F,1,1,1
m4_EDICwTCL,F,T,1,1,1
m4_EDICwTCL,T,F,1,1,1
m4_EDICwTCL,T,T,1,1,1
m3_EDICwTCL,F,F,F,1,1
m3_EDICwTCL,T,F,F,1,1
m3_EDICwTCL,T,T,F,1,1
m3_EDICwTCL,T,T,T,1,1
