"","model_name","arg1","arg2","arg3","arg4","arg5","shortname","AIC","RSE_mean","RSE_max","RSE_sd"
"1","m9_SMEIMCs","T","1","1","1","1","T1111",308.26,8.16,14.66,4.81
"2","m9_SMEIMCs","F","1","1","1","1","F1111",332.06,11.42,20.65,6.11
"3","m8_SMEIMCs","T","1","1","1","1","T1111",318.57,9.08,14.03,5.15
"4","m8_SMEIMCs","F","1","1","1","1","F1111",313.95,4998.69,24957.58,11157.36
"5","m7_SMEIMCs","F","F","1","1","1","FF111",322.78,762.06,2303.8,1005.55
"6","m7_SMEIMCs","T","F","1","1","1","TF111",325.39,765.17,3432.91,1499.07
"7","m7_SMEIMCs","F","T","1","1","1","FT111",378.64,6891.78,19133.42,8201.15
"8","m7_SMEIMCs","T","T","1","1","1","TT111",9999,9999,9999,9999
"9","m6_EDICwTCL","F","F","F","F","1","FFFF1",299.24,105.23,295.98,101.66
"10","m6_EDICwTCL","F","F","T","T","1","FFTT1",317.17,308.03,1592.32,630.59
"11","m6_EDICwTCL","T","T","F","F","1","TTFF1",319.16,2107.93,12488.95,5085.79
"12","m6_EDICwTCL","T","T","T","T","1","TTTT1",324.53,17.14,28.43,13.25
"13","m5_EDICwTCL","F","F","1","1","1","FF111",414.73,440.45,2903.49,1000.01
"14","m5_EDICwTCL","F","T","1","1","1","FT111",342.17,94.35,439.72,154.05
"15","m5_EDICwTCL","T","F","1","1","1","TF111",371.81,74.71,292.58,101.33
"16","m5_EDICwTCL","T","T","1","1","1","TT111",357.3,26.49,72.55,24.88
"17","m4_EDICwTCL","F","F","1","1","1","FF111",491.87,12487162.07,85746539.18,27931232.65
"18","m4_EDICwTCL","F","T","1","1","1","FT111",9999,9999,9999,9999
"19","m4_EDICwTCL","T","F","1","1","1","TF111",503.15,3513523874.39,12934268131.13,5489395681.02
"20","m4_EDICwTCL","T","T","1","1","1","TT111",416.68,966.92,4693.35,1771.26
"21","m3_EDICwTCL","F","F","F","1","1","FFF11",351.29,32919.57,106578.77,49587.16
"22","m3_EDICwTCL","T","F","F","1","1","TFF11",9999,9999,9999,9999
"23","m3_EDICwTCL","T","T","F","1","1","TTF11",313.56,1455.72,5037.58,2405.62
"24","m3_EDICwTCL","T","T","T","1","1","TTT11",320.63,4745.21,16222.97,7432.42
"25","m2_MwTCLEDIS","F","F","F","F","F","FFFFF",562.28,2776661.31,30473145.79,9185893.61
"26","m2_MwTCLEDIS","T","T","F","F","F","TTFFF",608.11,639468.1,5239313.85,1727764.17
"27","m2_MwTCLEDIS","F","F","T","T","T","FFTTT",560.31,1132106.75,7172304.03,2476358.15
"28","m2_MwTCLEDIS","T","T","T","T","T","TTTTT",384.66,18052.63,76263.98,30196.05
"29","m1_MwTCLESIC","F","F","F","F","F","FFFFF",531.51,132442.82,550338.25,226834.6
"30","m1_MwTCLESIC","T","T","F","F","F","TTFFF",1328.19,611.92,2264.58,931.96
"31","m1_MwTCLESIC","F","F","T","T","T","FFTTT",511.55,105598148.44,527958000.5,236106335.45
"32","m1_MwTCLESIC","T","T","T","T","T","TTTTT",821.7,2929.1,5608.03,2675.35
"33","m10_SARSTCLM","1","1","1","1","1","11111",390.99,4661.18,14010.77,6458.79
"34","m11_SARSTCLM","1","1","1","1","1","11111",344.42,5624.53,17499.81,8065.3
"35","m12_SARSTCLMwEP","1","1","1","1","1","11111",323.57,391.79,2963.76,969.95
"36","m13_SARSTCLMwImmune","1","1","1","1","1","11111",530.28,3377.64,19575.45,6608.47
"37","m14_SARSTCLMwImmune","1","1","1","1","1","11111",8085.59,40218283412.2,195936716668.2,76809126069.77
"38","m15_SARSTCLMwImmune","1","1","1","1","1","11111",281.9,836.97,6692.39,1817.42
"39","m16_SARSTCLMwImmune","1","1","1","1","1","11111",9999,9999,9999,9999
"40","m17_hepc1","1","1","1","1","1","11111",9999,9999,9999,9999
